customer_id,region,segment,signup_date
1,France,Enterprise,2023-04-17
2,Germany,SMB,2024-04-03
3,Spain,Enterprise,2024-05-06
4,Ireland,SMB,2023-01-22
5,Germany,Mid-Market,2024-11-12
6,Germany,SMB,2023-09-01
7,Spain,SMB,2023-10-01
8,UK,SMB,2023-12-12
9,France,SMB,2024-05-23
10,France,SMB,2024-01-25
11,UK,Mid-Market,2023-06-11
12,France,SMB,2023-10-23
13,Spain,SMB,2023-08-05
14,Ireland,SMB,2023-03-06
15,France,SMB,2023-03-04
16,Germany,Mid-Market,2024-05-04
17,Ireland,Mid-Market,2023-02-02
18,Germany,SMB,2024-09-04
19,Germany,SMB,2023-01-15
20,Germany,SMB,2023-08-29
21,Spain,SMB,2024-10-16
22,Germany,Mid-Market,2024-07-31
23,Spain,Mid-Market,2023-01-28
24,Germany,SMB,2023-12-14
25,Ireland,SMB,2024-09-24
26,Germany,SMB,2024-11-07
27,Germany,SMB,2024-08-30
28,Ireland,SMB,2023-09-25
29,Ireland,Enterprise,2024-11-29
30,Spain,SMB,2024-01-20
31,France,SMB,2024-02-20
32,Ireland,Mid-Market,2023-10-07
33,Germany,Mid-Market,2023-05-24
34,Spain,Mid-Market,2024-02-07
35,France,Mid-Market,2024-05-03
36,UK,Mid-Market,2024-04-17
37,UK,SMB,2023-05-24
38,UK,Enterprise,2023-09-11
39,Ireland,SMB,2024-10-20
40,Ireland,Mid-Market,2024-08-09
41,France,SMB,2023-04-22
42,UK,SMB,2023-12-04
43,Ireland,SMB,2024-08-02
44,Germany,Mid-Market,2023-02-02
45,Spain,SMB,2023-10-10
46,Ireland,SMB,2024-04-25
47,France,SMB,2023-02-18
48,Spain,SMB,2024-06-01
49,Spain,SMB,2023-06-30
50,Spain,SMB,2023-06-10
51,UK,Enterprise,2024-07-23
52,UK,SMB,2024-05-04
53,Ireland,Mid-Market,2023-06-25
54,Germany,SMB,2024-02-12
55,Ireland,Mid-Market,2023-01-20
56,France,Mid-Market,2023-05-23
57,Germany,SMB,2024-07-28
58,Ireland,SMB,2023-02-23
59,Spain,SMB,2024-09-11
60,Spain,SMB,2023-12-16
61,UK,SMB,2024-10-31
62,Germany,SMB,2023-12-12
63,Ireland,Mid-Market,2024-10-02
64,UK,SMB,2023-04-28
65,Ireland,Enterprise,2024-03-22
66,Germany,SMB,2024-10-17
67,Spain,SMB,2023-03-10
68,France,SMB,2023-08-06
69,France,SMB,2023-12-23
70,France,SMB,2023-08-11
71,Ireland,SMB,2024-05-30
72,France,SMB,2024-11-20
73,Spain,SMB,2024-09-04
74,UK,SMB,2023-10-12
75,UK,SMB,2023-02-04
76,UK,Mid-Market,2024-02-22
77,Spain,SMB,2023-03-16
78,Spain,Enterprise,2024-11-06
79,Ireland,Mid-Market,2024-07-01
80,Spain,SMB,2024-11-25
81,Ireland,SMB,2023-03-03
82,Spain,Mid-Market,2023-06-26
83,Germany,SMB,2024-03-30
84,UK,Mid-Market,2023-03-10
85,Spain,Mid-Market,2023-05-31
86,UK,Enterprise,2024-02-02
87,Spain,SMB,2024-10-19
88,France,Mid-Market,2023-08-18
89,UK,Mid-Market,2023-07-13
90,Germany,SMB,2023-12-31
91,Ireland,SMB,2023-03-11
92,France,SMB,2023-04-01
93,Germany,SMB,2023-08-08
94,Ireland,Mid-Market,2024-01-22
95,France,SMB,2023-04-27
96,Spain,SMB,2023-03-21
97,France,SMB,2024-06-15
98,Ireland,Mid-Market,2024-02-19
99,Germany,Enterprise,2023-01-12
100,France,SMB,2024-01-08
101,UK,SMB,2024-06-23
102,Ireland,SMB,2024-04-05
