subscription_id,customer_id,plan,monthly_revenue,is_churned,created_at
1,1,Professional,999,0,2023-04-17
2,2,Enterprise,999,0,2024-04-03
3,3,Basic,99,0,2024-05-06
4,4,Basic,999,0,2023-01-22
5,5,Enterprise,499,1,2024-11-12
6,6,Enterprise,49,0,2023-09-01
7,7,Professional,499,1,2023-10-01
8,8,Enterprise,999,0,2023-12-12
9,9,Professional,199,1,2024-05-23
10,10,Basic,99,0,2024-01-25
11,11,Professional,99,1,2023-06-11
12,12,Professional,999,0,2023-10-23
13,13,Basic,499,0,2023-08-05
14,14,Basic,49,1,2023-03-06
15,15,Enterprise,199,0,2023-03-04
16,16,Enterprise,99,0,2024-05-04
17,17,Professional,999,0,2023-02-02
18,18,Professional,199,0,2024-09-04
19,19,Basic,99,0,2023-01-15
20,20,Professional,499,0,2023-08-29
21,21,Basic,199,0,2024-10-16
22,22,Basic,99,0,2024-07-31
23,23,Professional,499,0,2023-01-28
24,24,Basic,49,0,2023-12-14
25,25,Enterprise,499,0,2024-09-24
26,26,Enterprise,49,0,2024-11-07
27,27,Professional,49,0,2024-08-30
28,28,Basic,99,0,2023-09-25
29,29,Professional,49,1,2024-11-29
30,30,Basic,199,0,2024-01-20
31,31,Enterprise,499,0,2024-02-20
32,32,Professional,999,0,2023-10-07
33,33,Enterprise,49,0,2023-05-24
34,34,Enterprise,99,0,2024-02-07
35,35,Enterprise,49,0,2024-05-03
36,36,Professional,99,1,2024-04-17
37,37,Basic,99,1,2023-05-24
38,38,Enterprise,499,0,2023-09-11
39,39,Professional,199,1,2024-10-20
40,40,Professional,49,0,2024-08-09
41,41,Basic,49,0,2023-04-22
42,42,Basic,99,0,2023-12-04
43,43,Enterprise,49,0,2024-08-02
44,44,Professional,499,0,2023-02-02
45,45,Professional,199,0,2023-10-10
46,46,Enterprise,999,0,2024-04-25
47,47,Professional,49,1,2023-02-18
48,48,Basic,199,0,2024-06-01
49,49,Enterprise,199,1,2023-06-30
50,50,Basic,199,0,2023-06-10
51,51,Professional,199,0,2024-07-23
52,52,Basic,99,0,2024-05-04
53,53,Professional,999,0,2023-06-25
54,54,Enterprise,999,0,2024-02-12
55,55,Professional,49,0,2023-01-20
56,56,Enterprise,499,0,2023-05-23
57,57,Professional,999,1,2024-07-28
58,58,Basic,199,0,2023-02-23
59,59,Professional,999,0,2024-09-11
60,60,Basic,199,0,2023-12-16
61,61,Enterprise,199,0,2024-10-31
62,62,Professional,999,0,2023-12-12
63,63,Enterprise,99,1,2024-10-02
64,64,Basic,49,0,2023-04-28
65,65,Enterprise,999,0,2024-03-22
66,66,Basic,199,0,2024-10-17
67,67,Professional,49,0,2023-03-10
68,68,Enterprise,99,0,2023-08-06
69,69,Basic,99,0,2023-12-23
70,70,Professional,99,0,2023-08-11
71,71,Enterprise,99,0,2024-05-30
72,72,Basic,199,0,2024-11-20
73,73,Basic,499,0,2024-09-04
74,74,Professional,999,0,2023-10-12
75,75,Basic,49,0,2023-02-04
76,76,Professional,199,0,2024-02-22
77,77,Basic,999,0,2023-03-16
78,78,Enterprise,99,0,2024-11-06
79,79,Enterprise,99,0,2024-07-01
80,80,Enterprise,999,0,2024-11-25
81,81,Professional,499,1,2023-03-03
82,82,Basic,499,0,2023-06-26
83,83,Enterprise,499,1,2024-03-30
84,84,Enterprise,199,0,2023-03-10
85,85,Basic,49,0,2023-05-31
86,86,Enterprise,99,0,2024-02-02
87,87,Professional,499,0,2024-10-19
88,88,Basic,999,0,2023-08-18
89,89,Professional,999,0,2023-07-13
90,90,Basic,49,1,2023-12-31
91,91,Basic,499,0,2023-03-11
92,92,Enterprise,99,1,2023-04-01
93,93,Basic,99,0,2023-08-08
94,94,Basic,999,0,2024-01-22
95,95,Basic,99,0,2023-04-27
96,96,Basic,999,1,2023-03-21
97,97,Basic,49,0,2024-06-15
98,98,Professional,49,0,2024-02-19
99,99,Professional,99,1,2023-01-12
100,100,Professional,99,0,2024-01-08
101,101,Enterprise,499,0,2024-06-23
102,102,Basic,499,0,2024-04-05
103,103,Enterprise,199,0,2024-08-16
104,104,Enterprise,199,0,2023-08-30
105,105,Professional,49,0,2023-05-26
106,106,Basic,999,0,2024-11-19
107,107,Enterprise,499,0,2024-02-09
108,108,Professional,999,0,2024-03-12
109,109,Enterprise,49,0,2023-03-26
110,110,Professional,49,0,2024-03-21
111,111,Professional,99,0,2024-07-04
112,112,Basic,49,0,2023-09-25
113,113,Professional,999,0,2024-09-15
114,114,Professional,499,1,2024-02-26
115,115,Professional,199,0,2023-12-01
116,116,Professional,499,0,2024-04-25
117,117,Basic,49,0,2023-05-18
118,118,Enterprise,999,0,2024-03-25
119,119,Basic,199,0,2024-10-24
120,120,Basic,999,1,2024-10-28
121,121,Basic,99,0,2023-01-05
122,122,Professional,49,0,2024-10-06
123,123,Basic,99,0,2023-03-14
124,124,Basic,49,0,2024-07-26
125,125,Professional,99,0,2024-11-22
126,126,Enterprise,199,0,2024-06-09
127,127,Professional,499,0,2023-12-29
128,128,Professional,49,0,2023-07-11
129,129,Basic,99,0,2023-03-27
130,130,Basic,499,0,2023-01-25
131,131,Basic,99,0,2023-08-16
132,132,Professional,999,0,2024-02-29
133,133,Basic,999,0,2023-11-11
134,134,Professional,499,1,2023-10-04
135,135,Enterprise,999,1,2023-08-31
136,136,Professional,499,0,2023-03-16
137,137,Enterprise,49,0,2024-07-27
138,138,Professional,999,0,2023-10-27
139,139,Enterprise,499,0,2023-08-13
140,140,Enterprise,999,0,2023-11-16
141,141,Professional,49,0,2023-09-16
142,142,Professional,99,0,2023-06-21
143,143,Enterprise,49,0,2024-09-04
144,144,Professional,499,1,2024-08-03
145,145,Enterprise,99,0,2023-05-17
146,146,Basic,999,0,2024-07-25
147,147,Enterprise,999,0,2023-10-18
148,148,Professional,499,0,2024-07-27
149,149,Basic,199,0,2023-10-22
150,150,Enterprise,99,0,2023-08-13
151,151,Enterprise,199,0,2024-08-01
152,152,Professional,199,0,2024-04-22
153,153,Professional,49,0,2024-02-15
154,154,Professional,99,0,2024-09-26
155,155,Enterprise,999,0,2023-08-16
156,156,Professional,499,0,2023-06-06
157,157,Basic,99,0,2023-10-19
158,158,Professional,99,1,2024-07-03
159,159,Enterprise,49,0,2023-07-29
160,160,Enterprise,999,1,2023-11-20
161,161,Basic,49,0,2024-01-13
162,162,Basic,49,0,2024-02-11
163,163,Professional,49,0,2023-07-01
164,164,Professional,49,0,2024-10-22
165,165,Basic,49,0,2024-10-27
166,166,Enterprise,99,0,2024-01-21
167,167,Professional,49,0,2023-06-28
168,168,Professional,999,0,2023-06-26
169,169,Basic,49,0,2024-04-13
170,170,Basic,499,0,2023-12-08
171,171,Enterprise,199,0,2023-08-03
172,172,Professional,199,0,2024-04-21
173,173,Professional,499,0,2023-07-13
174,174,Enterprise,999,0,2023-09-21
175,175,Enterprise,499,0,2023-06-11
176,176,Basic,999,0,2024-01-26
177,177,Basic,999,0,2024-03-18
178,178,Professional,499,0,2024-08-31
179,179,Basic,199,1,2023-03-19
